month,Studynitrofurantoin
2019-01-01,360236
2019-02-01,314762
2019-03-01,343045
2019-04-01,322109
2019-05-01,345123
2019-06-01,333050
2019-07-01,355237
2019-08-01,373254
2019-09-01,361110
2019-10-01,381483
2019-11-01,349324
2019-12-01,343585
2020-01-01,372978
2020-02-01,328300
2020-03-01,339500
2020-04-01,343711
2020-05-01,324619
2020-06-01,342845
2020-07-01,366211
2020-08-01,335502
2020-09-01,364427
2020-10-01,378044
2020-11-01,368316
2020-12-01,376763
2021-01-01,346154
2021-02-01,322929
2021-03-01,352184
2021-04-01,312946
2021-05-01,305005
2021-06-01,329354
2021-07-01,351294
2021-08-01,352080
2021-09-01,364227
2021-10-01,350834
2021-11-01,359383
2021-12-01,360740
2022-01-01,352750
2022-02-01,325808
2022-03-01,353517
2022-04-01,313933
