latestentry,ODS,supplier
2016-01-01 00:00:00+00:00,F85643,Unknown
2016-01-01 00:00:00+00:00,G82656,Unknown
2016-01-01 00:00:00+00:00,M82054,Unknown
2016-01-01 00:00:00+00:00,M85704,Unknown
2016-01-01 00:00:00+00:00,N83056,Unknown
2016-01-01 00:00:00+00:00,P91025,Unknown
2016-01-01 00:00:00+00:00,Y02719,Unknown
2016-01-01 00:00:00+00:00,Y02914,Unknown
2016-01-01 00:00:00+00:00,A81069,TPP
2016-01-01 00:00:00+00:00,B81044,TPP
2016-01-01 00:00:00+00:00,C81665,TPP
2016-01-01 00:00:00+00:00,F81717,TPP
2016-01-01 00:00:00+00:00,N81634,TPP
2016-01-01 00:00:00+00:00,Y02616,TPP
2016-01-01 00:00:00+00:00,C84718,TPP
2016-01-01 00:00:00+00:00,D83071,TPP
2016-01-01 00:00:00+00:00,E87705,TPP
2016-01-01 00:00:00+00:00,Y04660,EMIS
2016-02-01 00:00:00+00:00,E82613,Unknown
2016-02-01 00:00:00+00:00,E82630,Unknown
2016-02-01 00:00:00+00:00,E82656,Unknown
2016-02-01 00:00:00+00:00,E83629,Unknown
2016-02-01 00:00:00+00:00,E83632,Unknown
2016-02-01 00:00:00+00:00,E83640,Unknown
2016-02-01 00:00:00+00:00,E83652,Unknown
2016-02-01 00:00:00+00:00,E83659,Unknown
2016-02-01 00:00:00+00:00,E87055,Unknown
2016-02-01 00:00:00+00:00,E87718,Unknown
2016-02-01 00:00:00+00:00,E87723,Unknown
2016-02-01 00:00:00+00:00,E87727,Unknown
2016-02-01 00:00:00+00:00,F84659,Unknown
2016-02-01 00:00:00+00:00,F84671,Unknown
2016-02-01 00:00:00+00:00,F85646,Unknown
2016-02-01 00:00:00+00:00,F85699,Unknown
2016-02-01 00:00:00+00:00,F85711,Unknown
2016-02-01 00:00:00+00:00,G81627,Unknown
2016-02-01 00:00:00+00:00,G81703,Unknown
2016-02-01 00:00:00+00:00,H85019,Unknown
2016-02-01 00:00:00+00:00,H85054,Unknown
2016-02-01 00:00:00+00:00,K84074,Unknown
2016-02-01 00:00:00+00:00,L81006,Unknown
2016-02-01 00:00:00+00:00,L85602,Unknown
2016-02-01 00:00:00+00:00,M82612,Unknown
2016-02-01 00:00:00+00:00,M83043,Unknown
2016-02-01 00:00:00+00:00,M87634,Unknown
2016-02-01 00:00:00+00:00,N81091,Unknown
2016-02-01 00:00:00+00:00,N82659,Unknown
2016-02-01 00:00:00+00:00,N85029,Unknown
2016-02-01 00:00:00+00:00,P83008,Unknown
2016-02-01 00:00:00+00:00,P83019,Unknown
2016-02-01 00:00:00+00:00,P83026,Unknown
2016-02-01 00:00:00+00:00,P83030,Unknown
2016-02-01 00:00:00+00:00,P88004,Unknown
2016-02-01 00:00:00+00:00,P91605,Unknown
2016-02-01 00:00:00+00:00,Y00230,Unknown
2016-02-01 00:00:00+00:00,Y00372,Unknown
2016-02-01 00:00:00+00:00,Y00572,Unknown
2016-02-01 00:00:00+00:00,Y00812,Unknown
2016-02-01 00:00:00+00:00,Y01697,Unknown
2016-02-01 00:00:00+00:00,Y02157,Unknown
2016-02-01 00:00:00+00:00,Y02988,Unknown
2016-02-01 00:00:00+00:00,Y03528,Unknown
2016-02-01 00:00:00+00:00,Y04659,Unknown
2016-02-01 00:00:00+00:00,E83045,EMIS
2016-02-01 00:00:00+00:00,F83031,EMIS
2016-02-01 00:00:00+00:00,F85022,EMIS
2016-02-01 00:00:00+00:00,G81643,EMIS
2016-02-01 00:00:00+00:00,G81649,EMIS
2016-02-01 00:00:00+00:00,H81125,EMIS
2016-02-01 00:00:00+00:00,K81044,EMIS
2016-02-01 00:00:00+00:00,W91021,EMIS
2016-02-01 00:00:00+00:00,Y00334,EMIS
2016-02-01 00:00:00+00:00,Y02967,EMIS
2016-02-01 00:00:00+00:00,A82641,INPS
2016-03-01 00:00:00+00:00,F86635,EMIS
2016-03-01 00:00:00+00:00,H82002,EMIS
2016-03-01 00:00:00+00:00,J82052,EMIS
2016-03-01 00:00:00+00:00,J82629,EMIS
2016-03-01 00:00:00+00:00,M83613,EMIS
2016-03-01 00:00:00+00:00,P81722,EMIS
2016-03-01 00:00:00+00:00,P81762,EMIS
2016-03-01 00:00:00+00:00,P81764,EMIS
2016-03-01 00:00:00+00:00,G81064,EMIS
2016-03-01 00:00:00+00:00,Y00550,INPS
2016-04-01 00:00:00+00:00,A81605,TPP
2016-04-01 00:00:00+00:00,D81048,TPP
2016-04-01 00:00:00+00:00,Y02833,TPP
2016-04-01 00:00:00+00:00,C88626,TPP
2016-04-01 00:00:00+00:00,Y02566,TPP
2016-04-01 00:00:00+00:00,Y02181,TPP
2016-04-01 00:00:00+00:00,K83074,TPP
2016-04-01 00:00:00+00:00,B86102,TPP
2016-04-01 00:00:00+00:00,F81643,TPP
2016-04-01 00:00:00+00:00,F81659,TPP
2016-04-01 00:00:00+00:00,C87609,TPP
2016-04-01 00:00:00+00:00,F81719,TPP
2016-04-01 00:00:00+00:00,C88075,TPP
2016-04-01 00:00:00+00:00,C81079,TPP
2016-04-01 00:00:00+00:00,B86107,TPP
2016-04-01 00:00:00+00:00,B81674,TPP
2016-04-01 00:00:00+00:00,M83726,TPP
2016-04-01 00:00:00+00:00,A82642,EMIS
2016-04-01 00:00:00+00:00,B81634,EMIS
2016-04-01 00:00:00+00:00,E84706,EMIS
2016-04-01 00:00:00+00:00,F83013,EMIS
2016-04-01 00:00:00+00:00,G81662,EMIS
2016-04-01 00:00:00+00:00,J82093,EMIS
2016-04-01 00:00:00+00:00,K81061,EMIS
2016-04-01 00:00:00+00:00,K84620,EMIS
2016-04-01 00:00:00+00:00,L81099,EMIS
2016-04-01 00:00:00+00:00,L81128,EMIS
2016-04-01 00:00:00+00:00,L83037,EMIS
2016-04-01 00:00:00+00:00,M82050,EMIS
2016-04-01 00:00:00+00:00,M83133,EMIS
2016-04-01 00:00:00+00:00,M85059,EMIS
2016-04-01 00:00:00+00:00,N83636,EMIS
2016-04-01 00:00:00+00:00,G82210,INPS
2016-04-01 00:00:00+00:00,J84602,INPS
2016-06-01 00:00:00+00:00,D82629,TPP
2016-06-01 00:00:00+00:00,M88624,TPP
2016-06-01 00:00:00+00:00,Y02645,TPP
2016-06-01 00:00:00+00:00,Y01882,TPP
2016-06-01 00:00:00+00:00,F81162,TPP
2016-06-01 00:00:00+00:00,A81609,TPP
2016-06-01 00:00:00+00:00,B81690,TPP
2016-06-01 00:00:00+00:00,Y00891,TPP
2016-06-01 00:00:00+00:00,A83068,TPP
2016-06-01 00:00:00+00:00,C85627,EMIS
2016-06-01 00:00:00+00:00,F86686,EMIS
2016-06-01 00:00:00+00:00,G84037,EMIS
2016-06-01 00:00:00+00:00,J82650,EMIS
2016-06-01 00:00:00+00:00,K81065,EMIS
2016-06-01 00:00:00+00:00,L81108,EMIS
2016-06-01 00:00:00+00:00,M81065,EMIS
2016-06-01 00:00:00+00:00,N81625,EMIS
2016-06-01 00:00:00+00:00,N84009,EMIS
2016-06-01 00:00:00+00:00,N85041,EMIS
2016-06-01 00:00:00+00:00,P81634,EMIS
2016-06-01 00:00:00+00:00,P81774,EMIS
2016-06-01 00:00:00+00:00,Y02514,EMIS
2016-07-01 00:00:00+00:00,F82004,EMIS
2016-07-01 00:00:00+00:00,F84091,EMIS
2016-07-01 00:00:00+00:00,G81685,EMIS
2016-07-01 00:00:00+00:00,G85095,EMIS
2016-07-01 00:00:00+00:00,G85682,EMIS
2016-07-01 00:00:00+00:00,L81635,EMIS
2016-07-01 00:00:00+00:00,L83108,EMIS
2016-07-01 00:00:00+00:00,M83678,EMIS
2016-07-01 00:00:00+00:00,N83612,EMIS
2016-07-01 00:00:00+00:00,P81176,EMIS
2016-07-01 00:00:00+00:00,X26001,EMIS
2016-07-01 00:00:00+00:00,X26004,EMIS
2016-07-01 00:00:00+00:00,Y02421,EMIS
2016-07-01 00:00:00+00:00,L83122,INPS
2016-07-01 00:00:00+00:00,H83025,INPS
2016-08-01 00:00:00+00:00,A81623,TPP
2016-08-01 00:00:00+00:00,A86009,TPP
2016-08-01 00:00:00+00:00,B81019,TPP
2016-08-01 00:00:00+00:00,B81622,TPP
2016-08-01 00:00:00+00:00,B82003,TPP
2016-08-01 00:00:00+00:00,B82006,TPP
2016-08-01 00:00:00+00:00,B82088 ,TPP
2016-08-01 00:00:00+00:00,B82628 ,TPP
2016-08-01 00:00:00+00:00,B83071,TPP
2016-08-01 00:00:00+00:00,C81627,TPP
2016-08-01 00:00:00+00:00,C82058,TPP
2016-08-01 00:00:00+00:00,C82106,TPP
2016-08-01 00:00:00+00:00,C84636,TPP
2016-08-01 00:00:00+00:00,C85617,TPP
2016-08-01 00:00:00+00:00,D82102,TPP
2016-08-01 00:00:00+00:00,F81033,TPP
2016-08-01 00:00:00+00:00,F81667,TPP
2016-08-01 00:00:00+00:00,F81672,TPP
2016-08-01 00:00:00+00:00,F81695,TPP
2016-08-01 00:00:00+00:00,F81710,TPP
2016-08-01 00:00:00+00:00,G81661,TPP
2016-08-01 00:00:00+00:00,H82643,TPP
2016-08-01 00:00:00+00:00,H82649,TPP
2016-08-01 00:00:00+00:00,J82096,TPP
2016-08-01 00:00:00+00:00,J82168,TPP
2016-08-01 00:00:00+00:00,J83062,TPP
2016-08-01 00:00:00+00:00,K83004,TPP
2016-08-01 00:00:00+00:00,L83017,TPP
2016-08-01 00:00:00+00:00,L83121,TPP
2016-08-01 00:00:00+00:00,M85163,TPP
2016-08-01 00:00:00+00:00,Y00079,TPP
2016-08-01 00:00:00+00:00,Y00332,TPP
2016-08-01 00:00:00+00:00,Y02121,TPP
2016-08-01 00:00:00+00:00,A82040,EMIS
2016-08-01 00:00:00+00:00,A82057,EMIS
2016-08-01 00:00:00+00:00,A82619,EMIS
2016-08-01 00:00:00+00:00,C82065,EMIS
2016-08-01 00:00:00+00:00,C88061,EMIS
2016-08-01 00:00:00+00:00,E85755,EMIS
2016-08-01 00:00:00+00:00,F84700,EMIS
2016-08-01 00:00:00+00:00,F85632,EMIS
2016-08-01 00:00:00+00:00,G85012,EMIS
2016-08-01 00:00:00+00:00,P81691,EMIS
2016-08-01 00:00:00+00:00,P84676,EMIS
2016-08-01 00:00:00+00:00,Y90123,EMIS
2016-08-01 00:00:00+00:00,Y90209,EMIS
2016-08-01 00:00:00+00:00,Y90210,EMIS
2016-08-01 00:00:00+00:00,Y90340,EMIS
2016-08-01 00:00:00+00:00,Y90348,EMIS
2016-08-01 00:00:00+00:00,F82641,INPS
2016-08-01 00:00:00+00:00,M85784,INPS
2016-08-01 00:00:00+00:00,Y90124,INPS
2016-08-01 00:00:00+00:00,Y90204,INPS
2016-08-01 00:00:00+00:00,Y90214,INPS
2016-08-01 00:00:00+00:00,Y90553,INPS
2016-09-01 00:00:00+00:00,A81613,TPP
2016-09-01 00:00:00+00:00,B81120,TPP
2016-09-01 00:00:00+00:00,J82086,TPP
2016-09-01 00:00:00+00:00,A83037,TPP
2016-09-01 00:00:00+00:00,E82624,TPP
2016-09-01 00:00:00+00:00,M85779,TPP
2016-09-01 00:00:00+00:00,A82017,EMIS
2016-09-01 00:00:00+00:00,A82052,EMIS
2016-09-01 00:00:00+00:00,A89611,EMIS
2016-09-01 00:00:00+00:00,E82658,EMIS
2016-09-01 00:00:00+00:00,G85094,EMIS
2016-09-01 00:00:00+00:00,H82101,EMIS
2016-09-01 00:00:00+00:00,H83623,EMIS
2016-09-01 00:00:00+00:00,H85674,EMIS
2016-09-01 00:00:00+00:00,K82069,EMIS
2016-09-01 00:00:00+00:00,M82055,EMIS
2016-09-01 00:00:00+00:00,M85010,EMIS
2016-09-01 00:00:00+00:00,M85111,EMIS
2016-09-01 00:00:00+00:00,N82657,EMIS
2016-09-01 00:00:00+00:00,P81011,EMIS
2016-09-01 00:00:00+00:00,P89027,EMIS
2016-09-01 00:00:00+00:00,Y04979,EMIS
2016-09-01 00:00:00+00:00,F82643,INPS
2016-09-01 00:00:00+00:00,F85059,INPS
2016-09-01 00:00:00+00:00,G82061,INPS
2016-09-01 00:00:00+00:00,G82764,INPS
2016-09-01 00:00:00+00:00,G83007,INPS
2016-09-01 00:00:00+00:00,P88633,Microtest
2016-10-01 00:00:00+00:00,A81003,TPP
2016-10-01 00:00:00+00:00,B81072,TPP
2016-10-01 00:00:00+00:00,B81644,TPP
2016-10-01 00:00:00+00:00,B86651,TPP
2016-10-01 00:00:00+00:00,C84648,TPP
2016-10-01 00:00:00+00:00,C87610,TPP
2016-10-01 00:00:00+00:00,C87617,TPP
2016-10-01 00:00:00+00:00,C88638,TPP
2016-10-01 00:00:00+00:00,D82098,TPP
2016-10-01 00:00:00+00:00,E81072,TPP
2016-10-01 00:00:00+00:00,E85673,TPP
2016-10-01 00:00:00+00:00,E87649,TPP
2016-10-01 00:00:00+00:00,F81661,TPP
2016-10-01 00:00:00+00:00,F81728,TPP
2016-10-01 00:00:00+00:00,J81624,TPP
2016-10-01 00:00:00+00:00,Y02644,TPP
2016-10-01 00:00:00+00:00,Y02815,TPP
2016-10-01 00:00:00+00:00,Y02846,TPP
2016-10-01 00:00:00+00:00,A89038,EMIS
2016-10-01 00:00:00+00:00,B81683,EMIS
2016-10-01 00:00:00+00:00,F83648,EMIS
2016-10-01 00:00:00+00:00,H85086,EMIS
2016-10-01 00:00:00+00:00,K84076,EMIS
2016-10-01 00:00:00+00:00,L85616,EMIS
2016-10-01 00:00:00+00:00,Y02379,EMIS
2016-11-01 00:00:00+00:00,A83638,TPP
2016-11-01 00:00:00+00:00,A89621,EMIS
2016-11-01 00:00:00+00:00,B81057,EMIS
2016-11-01 00:00:00+00:00,B85040,EMIS
2016-11-01 00:00:00+00:00,G82670,EMIS
2016-11-01 00:00:00+00:00,G82715,EMIS
2016-11-01 00:00:00+00:00,K84073,EMIS
2016-11-01 00:00:00+00:00,L85045,EMIS
2016-11-01 00:00:00+00:00,M92643,EMIS
2016-11-01 00:00:00+00:00,P81153,EMIS
2016-11-01 00:00:00+00:00,P81700,EMIS
2016-11-01 00:00:00+00:00,Y02164,EMIS
2016-11-01 00:00:00+00:00,F82020,INPS
2016-11-01 00:00:00+00:00,L82621,Microtest
2016-12-01 00:00:00+00:00,J81024,TPP
2016-12-01 00:00:00+00:00,F85679,EMIS
2016-12-01 00:00:00+00:00,G82810,EMIS
2016-12-01 00:00:00+00:00,G82812,EMIS
2016-12-01 00:00:00+00:00,G85618,EMIS
2016-12-01 00:00:00+00:00,J82203,EMIS
2016-12-01 00:00:00+00:00,M83064,EMIS
2016-12-01 00:00:00+00:00,M84608,EMIS
2016-12-01 00:00:00+00:00,M85786,EMIS
2016-12-01 00:00:00+00:00,M86604,EMIS
2016-12-01 00:00:00+00:00,P81121,EMIS
2016-12-01 00:00:00+00:00,P86605,EMIS
2016-12-01 00:00:00+00:00,P88604,EMIS
2016-12-01 00:00:00+00:00,Y02507,EMIS
2016-12-01 00:00:00+00:00,Y02508,EMIS
2016-12-01 00:00:00+00:00,Y02515,EMIS
2016-12-01 00:00:00+00:00,Y02516,EMIS
2016-12-01 00:00:00+00:00,Y02581,EMIS
2016-12-01 00:00:00+00:00,Y02999,EMIS
2016-12-01 00:00:00+00:00,G82124,INPS
2016-12-01 00:00:00+00:00,G82156,INPS
2016-12-01 00:00:00+00:00,Y05021,Microtest
2017-01-01 00:00:00+00:00,A81008,TPP
2017-01-01 00:00:00+00:00,B83631,TPP
2017-01-01 00:00:00+00:00,E82039,TPP
2017-01-01 00:00:00+00:00,F82646,EMIS
2017-01-01 00:00:00+00:00,W00065,EMIS
2017-02-01 00:00:00+00:00,B81685,TPP
2017-02-01 00:00:00+00:00,B81689,TPP
2017-02-01 00:00:00+00:00,B82095,TPP
2017-02-01 00:00:00+00:00,E81020,TPP
2017-02-01 00:00:00+00:00,E85724,TPP
2017-02-01 00:00:00+00:00,E85728,TPP
2017-02-01 00:00:00+00:00,F81214,TPP
2017-02-01 00:00:00+00:00,F81639,TPP
